word, core, background
                    , 0.00012726, 0.009046
insurance           , 1.038e-29, 0.00012161
narayana            , 0.0014207, 0.00026199
asphalt             , 1.4743e-05, 5.2165e-05
foreshore           , 0.00032896, 5.0464e-05
ashok               , 0.00018669, 0.00062026
cochin              , 0.00010377, 6.0804e-30
network             , 1.0377e-29, 0.00012161
1rst                , 0.00010377, 6.0804e-30
axis                , 0.00020754, 6.0804e-30
gaming              , 1.0377e-29, 6.0804e-05
51st                , 0.00010377, 6.0804e-30
mithra              , 0.00010377, 6.0804e-30
ayalulur            , 5.1885e-05, 3.0402e-05
periya              , 0.00019395, 0.00019038
hilton              , 7.5842e-05, 7.7168e-05
veerangavedu        , 1.0377e-29, 6.0804e-05
rajarajeswari       , 0.00010377, 6.0804e-30
growth              , 5.1885e-05, 3.0402e-05
jambulli            , 0.00010377, 6.0804e-30
jodhiamma           , 0.00072639, 6.0804e-30
chikmagalur         , 5.1008e-05, 3.0916e-05
tooth               , 1.0377e-29, 0.00012161
robert              , 1.0542e-29, 0.00012161
ota                 , 0.00011981, 0.00011221
usha                , 0.00010377, 6.0804e-30
women               , 1.363e-26, 0.00054724
teynampet           , 0.00041052, 0.0003675
kalmandapam         , 0.00020754, 6.0804e-30
karvy               , 5.1885e-05, 3.0402e-05
palayakara          , 0.00010377, 6.0804e-30
ticket              , 0.00010377, 6.0804e-30
duraiarasan         , 0.00010377, 6.0804e-30
om                  , 0.00031128, 6.0821e-05
shri                , 0.00011061, 0.00048242
sozhilinga          , 3.2985e-05, 4.1476e-05
veyalanalur         , 0.00010377, 6.0804e-30
puthagaram          , 0.00010377, 6.0804e-30
vn                  , 0.00010377, 6.0804e-30
rama                , 0.00056212, 9.6252e-05
thiruvottiyur       , 0.00020754, 6.0804e-30
horticultural       , 0.00010377, 6.0804e-30
samruddhi           , 5.1885e-05, 3.0402e-05
heritage            , 0.00010377, 0.00012161
power               , 2.1855e-23, 0.00030402
stickers            , 0.00010377, 6.0804e-30
32nd                , 0.00041508, 6.0804e-30
operated            , 1.0377e-29, 6.0804e-05
vkm                 , 0.00010377, 6.0804e-30
70                  , 0.00010377, 6.0804e-30
soft                , 5.1885e-05, 3.0402e-05
aa                  , 0.00010377, 6.0804e-30
a2                  , 0.00010377, 6.0804e-30
kowtham             , 4.1133e-11, 6.0804e-05
orr                 , 0.00020754, 6.0804e-30
fisherman           , 1.8893e-09, 0.00012161
seashore            , 5.1885e-05, 3.0402e-05
bains               , 0.00010377, 6.0804e-30
kamraj              , 0.00031131, 6.0804e-30
bar                 , 1.0377e-29, 0.00024322
coop                , 0.00012843, 4.6354e-05
vivek               , 0.00010377, 6.0804e-30
vv                  , 0.00031131, 6.0804e-30
kalasathamman       , 0.00020754, 6.0804e-30
pondichery          , 0.00010377, 6.0804e-30
kabab               , 5.0719e-05, 3.1085e-05
dresses             , 1.0377e-29, 0.00012161
mudali              , 2.8372e-15, 0.0041955
chitlapakam         , 0.00010377, 6.0804e-30
nair                , 0.00020422, 0.00018436
eswaran             , 0.00020754, 6.0804e-30
sita                , 0.00020754, 6.0804e-30
sdb2                , 0.00010377, 6.0804e-30
14th                , 0.0012123, 0.00014093
nowroji             , 0.00010377, 6.0804e-30
kumara              , 5.1885e-05, 3.0402e-05
analytics           , 5.1885e-05, 3.0402e-05
kazura              , 2.0518e-11, 6.0804e-05
builing             , 0.00010377, 6.0804e-30
bari                , 1.2753e-07, 6.0729e-05
ramapuram           , 0.00062262, 6.0804e-30
venkatam            , 5.1885e-05, 3.0402e-05
bhavan              , 8.2528e-14, 0.0021889
sacred              , 0.00041508, 6.0804e-30
north               , 0.0011636, 0.0013855
mahabalipuram       , 0.00010377, 6.0804e-30
g5                  , 0.00010377, 6.0804e-30
bust                , 0.00010377, 6.0804e-30
aranganathan        , 0.00010377, 6.0804e-30
jaganathan          , 0.00031131, 6.0804e-30
baskin              , 5.1885e-05, 3.0402e-05
sterling            , 0.00093393, 6.0804e-30
vegatable           , 0.00010377, 6.0804e-30
sabarmati           , 0.00010377, 6.0804e-30
vittalchari         , 0.00010377, 6.0804e-30
umapathy            , 0.00020754, 6.0804e-30
2                   , 0.0010346, 0.00067067
kasi                , 0.00083016, 6.0804e-30
birds               , 0.00015918, 0.00033236
elangovan           , 0.00010377, 6.0804e-30
sciences            , 0.00021168, 0.00011918
courts              , 0.00012738, 0.00022938
nandabakkam         , 0.00010377, 6.0804e-30
ganeshpuram         , 0.00010377, 6.0804e-30
l3                  , 0.00010377, 6.0804e-30
arul                , 0.00020754, 1.3602e-17
arunachalapuram     , 0.00010377, 6.0804e-30
nayak               , 0.00020754, 6.0804e-30
xs                  , 0.00010377, 6.0804e-30
zigzag              , 0.00010377, 6.0804e-30
glm                 , 0.00010377, 6.0804e-30
nattu               , 6.5819e-21, 0.00030402
merchants           , 0.00010377, 6.0804e-30
ayanavaram          , 0.00062262, 6.0804e-30
dharmasastha        , 0.00010377, 6.0804e-30
radhakrishnan       , 0.0011415, 1.4672e-16
subedar             , 0.0002075, 0.00018244
theradi             , 0.00010377, 6.0804e-30
kayal               , 0.00010377, 6.0804e-30
viveks              , 0.00010377, 6.0804e-30
veliyur             , 0.00010376, 4.0711e-09
accounts            , 1.0377e-29, 0.00012161
chettiyars          , 1.0377e-29, 6.0804e-05
technical           , 1.0377e-29, 0.00024322
subbraya            , 5.1885e-05, 3.0402e-05
egp                 , 0.00020754, 6.0804e-30
angappan            , 0.00010377, 6.0804e-30
vasudevapuram       , 0.00020754, 6.0804e-30
bajhanai            , 0.00010377, 6.0804e-30
salai               , 0.00012985, 0.0055787
brocade             , 5.1885e-05, 3.0402e-05
cooks               , 0.00010377, 6.0804e-30
attma               , 0.00010377, 6.0804e-30
alliance            , 5.1885e-05, 3.0402e-05
maistry             , 9.9625e-20, 0.00066884
sdat                , 0.00022769, 4.8997e-05
krishnamachari      , 0.00020754, 6.0804e-30
kathbeda            , 0.00031131, 6.0804e-30
soorammal           , 0.00010377, 6.0804e-30
prasanna            , 0.00016582, 0.00014605
petachi             , 5.1885e-05, 3.0402e-05
venkatashwara       , 0.00010377, 6.0804e-30
birla               , 1.0441e-06, 0.0001818
pandian             , 0.00062262, 6.0804e-30
services            , 9.0609e-24, 0.00048643
puzhuthivakkam      , 0.00031131, 6.0804e-30
indra               , 0.00010377, 6.0804e-30
paripoona           , 0.00010377, 6.0804e-30
venkatachalam       , 0.00041508, 6.0804e-30
ekambareswarar      , 0.00010377, 6.0804e-30
bajanai             , 0.0012452, 6.0804e-30
mrs                 , 0.00010377, 6.0804e-30
aishwarya           , 0.00020754, 1.8281e-16
antlered            , 5.1885e-05, 3.0402e-05
periamet            , 0.00031131, 6.0804e-30
dominoes            , 0.00010377, 6.0804e-30
panimalar           , 0.00010377, 6.0804e-30
car                 , 0.00017775, 0.00050389
tmm                 , 0.00010377, 6.0804e-30
medavalkam          , 0.00020754, 6.0804e-30
police              , 0.0010916, 0.001975
koutoons            , 0.00010377, 6.0804e-30
vidyanathan         , 0.00010377, 6.0804e-30
ethiraj             , 0.00093393, 7.2384e-13
92nd                , 0.00010377, 6.0804e-30
maduvankarai        , 0.00041508, 6.0804e-30
thelliyaragaram     , 0.00010377, 6.0804e-30
ranga               , 0.00051885, 1.3569e-18
doraiswamy          , 0.00020754, 6.0804e-30
whites              , 0.00010377, 6.0804e-30
meenava             , 0.00010377, 6.0804e-30
dublin              , 0.00010377, 6.0804e-30
expressmart         , 5.1885e-05, 3.0402e-05
ponmar              , 0.00010377, 6.0804e-30
karpaka             , 4.3297e-05, 3.5434e-05
kuppam              , 0.00016716, 0.00093572
zakir               , 0.00020754, 6.0804e-30
72nd                , 0.00010377, 6.0804e-30
prachar             , 0.00010377, 6.0804e-05
24th                , 0.00041508, 6.0804e-30
ic                  , 0.00010377, 6.0804e-30
aswamedha           , 1.0377e-29, 6.0804e-05
koothadum           , 1.4918e-08, 0.0001216
thajai              , 0.00010377, 6.0804e-30
velmurugan          , 0.00010377, 6.0804e-30
cn                  , 5.1885e-05, 3.0402e-05
konica              , 0.00010377, 6.0804e-30
maran               , 5.1885e-05, 3.0402e-05
sahib               , 2.3648e-23, 0.0013377
resources           , 0.00010377, 3.4784e-16
jeevanadham         , 0.00010377, 6.0804e-30
cross               , 0.0026335, 0.013962
150                 , 0.00010377, 6.0804e-30
vit                 , 0.000496, 0.00031741
rajivgandhi         , 0.00010377, 6.0804e-30
